638516,6606,-5498,-932,77,68,-340,298,304,244
644972,6606,-5498,-932,77,68,-340,301,298,380
651436,6606,-5498,-932,77,68,-340,304,323,273
657920,7416,-4890,-1446,-71,121,-176,301,283,287
664636,7416,-4890,-1446,-71,121,-176,308,319,307
671372,7416,-4890,-1446,-71,121,-176,303,292,307
678080,7332,-4226,-1546,-72,-157,-10,309,296,389
684820,7332,-4226,-1546,-72,-157,-10,308,312,273
691544,6320,-4498,-1528,-111,-281,91,305,294,292
698276,6320,-4498,-1528,-111,-281,91,306,296,254
705000,6320,-4498,-1528,-111,-281,91,300,301,218
711700,5770,-4616,-1164,-138,-252,179,308,310,398
718500,5770,-4616,-1164,-138,-252,179,304,296,252
725300,5936,-4494,-1190,-138,-252,179,300,300,330
732084,5936,-4494,-1190,-107,-134,202,314,298,284
738908,5936,-4494,-1190,-107,-134,202,300,293,276
745720,6022,-4552,-1188,53,48,102,309,315,381
752188,6022,-4552,-1188,53,48,102,306,306,248
758664,6022,-4552,-1188,53,48,102,305,295,302
765124,6210,-4802,-1314,53,269,-48,300,264,292
771696,6210,-4802,-1314,53,269,-48,299,329,242
778236,6544,-4884,-1534,53,269,-48,304,305,414
784804,6544,-4884,-1534,163,457,-165,308,285,260
791532,6544,-4884,-1534,163,457,-165,299,300,289
798252,7106,-5374,-1392,155,438,-188,297,306,329
804964,7106,-5374,-1392,155,438,-188,291,289,264
811696,7106,-5374,-1392,155,438,-188,305,313,367
818416,7212,-5290,-1432,71,267,-130,304,311,290
825060,7212,-5290,-1432,71,267,-130,308,300,329
831684,7058,-4998,-1168,-4,71,-17,308,300,281
838148,7058,-4998,-1168,-4,71,-17,299,299,264
844608,7058,-4998,-1168,-4,71,-17,299,305,363
851068,7116,-5166,-1122,-190,92,6,309,316,258
857544,7116,-5166,-1122,-190,92,6,301,283,273
864004,7116,-5166,-1122,-190,92,6,313,317,322
870460,6934,-4970,-1376,-302,87,50,300,300,264
877020,6934,-4970,-1376,-302,87,50,302,308,338
883564,6934,-4970,-1376,-302,87,50,304,299,274
890112,6866,-4720,-1536,-179,-4,28,305,300,254
896660,6866,-4720,-1536,-179,-4,28,315,308,352
903212,6772,-4758,-1230,-112,46,-50,304,290,262
909856,6772,-4758,-1230,-112,46,-50,296,306,313
916476,6772,-4758,-1230,-112,46,-50,312,300,279
923116,6540,-4886,-966,-175,160,-125,303,304,246
929828,6540,-4886,-966,-175,160,-125,306,296,362
936536,6540,-4886,-966,-175,160,-125,300,302,238
943256,6658,-4788,-1140,-187,187,-123,307,318,389
950060,6658,-4788,-1140,-187,187,-123,316,295,226
956864,6728,-4680,-1166,-113,109,-73,299,298,268
963572,6728,-4680,-1166,-113,109,-73,301,306,333
970300,6728,-4680,-1166,-113,109,-73,308,310,266
977028,6658,-4456,-906,-147,43,-61,304,299,354
983588,6658,-4456,-906,-147,43,-61,302,289,272
